Date,Price (USD/Ounce)
3/20/20,"1,494.40"
3/23/20,"1,525.40"
3/24/20,"1,605.80"
3/25/20,"1,605.50"
3/26/20,"1,634.80"
3/27/20,"1,617.30"
3/30/20,"1,618.30"
3/31/20,"1,609.00"
4/1/20,"1,576.60"
4/2/20,"1,616.80"
4/3/20,"1,613.10"
4/6/20,"1,648.30"
4/7/20,"1,649.30"
4/8/20,"1,647.80"
4/9/20,"1,680.70"
4/10/20,"1,680.70"
4/13/20,"1,680.70"
4/14/20,"1,741.90"
4/15/20,"1,718.70"
4/16/20,"1,729.50"
4/17/20,"1,692.60"
4/20/20,"1,686.20"
4/21/20,"1,682.10"
4/22/20,"1,710.60"
4/23/20,"1,736.30"
4/24/20,"1,715.90"
4/27/20,"1,715.00"
4/28/20,"1,691.60"
4/29/20,"1,703.40"
4/30/20,"1,702.80"
5/1/20,"1,686.30"
5/4/20,"1,709.10"
5/5/20,"1,699.60"
5/6/20,"1,691.50"
5/7/20,"1,704.10"
5/8/20,"1,704.10"
5/11/20,"1,702.80"
5/12/20,"1,702.40"
5/13/20,"1,708.40"
5/14/20,"1,731.60"
5/15/20,"1,735.40"
5/18/20,"1,734.70"
5/19/20,"1,738.00"
5/20/20,"1,748.30"
5/21/20,"1,724.90"
5/22/20,"1,733.60"
5/25/20,"1,733.60"
5/26/20,"1,720.30"
5/27/20,"1,694.60"
5/28/20,"1,717.40"
5/29/20,"1,728.70"
6/1/20,"1,730.60"
6/2/20,"1,742.20"
6/3/20,"1,705.40"
6/4/20,"1,700.10"
6/5/20,"1,683.50"
6/8/20,"1,690.40"
6/9/20,"1,713.50"
6/10/20,"1,722.10"
6/11/20,"1,738.30"
6/12/20,"1,733.50"
6/15/20,"1,710.50"
6/16/20,"1,719.90"
6/17/20,"1,724.40"
6/18/20,"1,719.50"
6/19/20,"1,734.80"
6/22/20,"1,761.90"
6/23/20,"1,768.90"
6/24/20,"1,766.10"
6/25/20,"1,756.60"
6/26/20,"1,747.60"
6/29/20,"1,771.60"
6/30/20,"1,768.10"
7/1/20,"1,771.10"
7/2/20,"1,777.50"
7/3/20,"1,772.90"
7/6/20,"1,787.90"
7/7/20,"1,789.60"
7/8/20,"1,811.10"
7/9/20,"1,812.10"
7/10/20,"1,803.10"
7/13/20,"1,807.50"
7/14/20,"1,801.90"
7/15/20,"1,804.60"
7/16/20,"1,807.70"
7/17/20,"1,807.40"
7/20/20,"1,815.70"
7/21/20,"1,842.60"
7/22/20,"1,852.40"
7/23/20,"1,878.30"
7/24/20,"1,902.10"
7/27/20,"1,936.70"
7/28/20,"1,940.90"
7/29/20,"1,950.90"
7/30/20,"1,957.70"
7/31/20,"1,964.90"
8/3/20,"1,958.60"
8/4/20,"1,977.90"
8/5/20,"2,048.20"
8/6/20,"2,067.20"
8/7/20,"2,031.20"
8/10/20,"2,044.50"
8/11/20,"1,939.70"
8/12/20,"1,931.90"
8/13/20,"1,944.30"
8/14/20,"1,944.80"
8/17/20,"1,972.90"
8/18/20,"2,008.80"
8/19/20,"1,981.00"
8/20/20,"1,927.20"
